path,guid,width,height,spriteBorder,prefab_count,colors,prefabs
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Loading/Icon_LoadingLogo.png,1138df11980027047a4394d1d4f4541d,677,450,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/MenuSystem/Common/LoadingPanel/LoadingPanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Loading/Icon_LoadingProgress.png,66233c2ee69480f4f835724902875bea,137,60,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/MenuSystem/Common/LoadingPanel/LoadingPanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Prop/Icon_Prop_1.png,9ff10a21a203364448bd45cd29ffeb35,178,184,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/AddPropPanel/AddPropPanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/Prop/Icon_Prop_3.png,cfd2b63289923f84781518fb23a57efe,500,516,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/GamePanel/UIPropEntry.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseBack.png,8b037981897238248b407abd442eb5fb,413,171,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseCanMusic.png,cc5b680972c24ed4bb11457464223f3c,140,140,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseCanShake.png,15d907da07bcf7944af252bf7e17f95b,140,140,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseContinue.png,9a3250c38cb231b499f726cf3574db14,413,171,"{x: 206.5, y: 85.5, z: 206.5, w: 85.5}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseEffectsOff.png,3ac1e65b800d0a2438ea7d31dc3167bb,140,140,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseEffectsOn.png,7fd808c70dcad3f45a03cff6226d884d,140,140,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
